Date	Close	Shares Traded	Turnover (Rs. Cr)	Policy Repo Rate	fed funds rate
4-May-22	16677.6	310632799	27405.52	4	0.5
5-May-22	16682.65	265793403	21792.91	4	1
6-May-22	16411.25	300527719	25472.95	4.4	1
9-May-22	16301.85	288402950	23274.74	4.4	1
10-May-22	16240.05	283061200	22685.27	4.4	1
11-May-22	16167.1	284294438	22994.38	4.4	1
12-May-22	15808	314921678	25352.34	4.4	1
13-May-22	15782.15	369135540	27454.12	4.4	1
16-May-22	15842.3	217646558	17852.19	4.4	1
17-May-22	16259.3	295687774	22782.99	4.4	1
18-May-22	16240.3	290441105	23889.84	4.4	1
19-May-22	15809.4	313876082	24340.84	4.4	1
20-May-22	16266.15	252402013	22806.69	4.9	1
23-May-22	16214.7	293829853	25110.85	4.9	1
24-May-22	16125.15	249778296	21895.75	4.9	1
25-May-22	16025.8	243342347	21400.14	4.9	1
26-May-22	16170.15	314305739	27721.21	4.9	1
27-May-22	16352.45	274064956	21341.98	4.9	1
30-May-22	16661.4	251400757	21216.5	4.9	1
31-May-22	16584.55	651613610	52929.35	4.9	1
1-Jun-22	16522.75	249619038	19350.33	4.9	1
2-Jun-22	16628	235958283	20055.84	4.9	1
3-Jun-22	16584.3	245514871	22249.29	4.9	1
6-Jun-22	16569.55	233589132	17999.41	4.9	1
7-Jun-22	16416.35	233814633	17921.95	4.9	1
8-Jun-22	16356.25	243481044	18336.15	4.9	1
9-Jun-22	16478.1	204954394	16721.68	4.9	1
10-Jun-22	16201.8	189680523	18388.03	4.9	1
13-Jun-22	15774.4	225534385	20002.64	4.9	1
14-Jun-22	15732.1	225425862	19825.41	4.9	1
15-Jun-22	15692.15	183011236	16063.24	4.9	1
16-Jun-22	15360.6	264735957	21383.06	4.9	1.75
17-Jun-22	15293.5	342629997	29074	4.9	1.75
20-Jun-22	15350.15	260022438	18531.78	4.9	1.75
21-Jun-22	15638.8	262794687	18934.27	4.9	1.75
22-Jun-22	15413.3	220889589	16817.07	4.9	1.75
23-Jun-22	15556.65	259171810	21722.06	4.9	1.75
24-Jun-22	15699.25	219599372	18259.72	4.9	1.75
27-Jun-22	15832.05	210932505	17770.42	4.9	1.75
28-Jun-22	15850.2	251865155	18419.75	4.9	1.75
29-Jun-22	15799.1	444949551	22528.57	4.9	1.75
30-Jun-22	15780.25	306027777	23970.65	4.9	1.75
1-Jul-22	15752.05	364090131	25891.94	4.9	1.75
4-Jul-22	15835.35	304328467	19875.22	4.9	1.75
5-Jul-22	15810.85	254164463	19129.6	4.9	1.75
6-Jul-22	15989.8	288375300	22836.77	4.9	1.75
7-Jul-22	16132.9	264615218	21465.33	4.9	1.75
8-Jul-22	16220.6	281102369	20990.69	4.9	1.75
11-Jul-22	16216	255915072	20240.69	4.9	1.75
12-Jul-22	16058.3	208648707	16042.52	4.9	1.75
13-Jul-22	15966.65	233264100	19649.66	4.9	1.75
14-Jul-22	15938.65	228603433	18858.83	4.9	1.75
15-Jul-22	16049.2	205768079	17031.43	4.9	1.75
18-Jul-22	16278.5	227744850	19420.93	4.9	1.75
19-Jul-22	16340.55	222630928	18068.59	4.9	1.75
20-Jul-22	16520.85	284359582	22061.81	4.9	1.75
21-Jul-22	16605.25	243625339	20603.17	4.9	1.75
